model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,high,100,0.17,0.5455367565155029,0.19,0.4902893927693367,0.01999999999999999,-0.055247363746166234,83,0.5404565246666179,0.5465772859303348,0.49
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,low,100,0.2,0.5166794353723526,0.19,0.4902893927693367,-0.010000000000000009,-0.026390042603015917,80,0.49965016543865204,0.5209367528557778,0.41
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,mid,100,0.17,0.5535006320476532,0.19,0.4902893927693367,0.01999999999999999,-0.06321123927831651,83,0.55157229830237,0.5538955919713859,0.49
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,high,100,0.18,0.4436987181007862,0.19,0.4902893927693367,0.010000000000000009,0.04659067466855049,82,0.4385208421283298,0.4448353250215693,0.26
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,low,100,0.19,0.4843196113407612,0.19,0.4902893927693367,0.0,0.005969781428575516,81,0.4705585539340973,0.4875475136954107,0.33
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,mid,100,0.21,0.4711419631540775,0.19,0.4902893927693367,-0.01999999999999999,0.01914742961525917,79,0.4472059089513052,0.4775047117396246,0.3
SigLIP Base P16 224,siglip_base_p16_224,clean,clean,clean,100,0.19,0.4902893927693367,0.19,0.4902893927693367,0.0,0.0,81,0.4832985558007893,0.4919292187249219,0.33
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,high,100,0.16,0.5428060925006867,0.19,0.4902893927693367,0.03,-0.05251669973134998,84,0.5595510508865118,0.5396165766176724,0.47
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,low,100,0.21,0.5151118545234203,0.19,0.4902893927693367,-0.01999999999999999,-0.024822461754083647,79,0.4979742921534039,0.5196674090774753,0.42
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,mid,100,0.17,0.5365945273637771,0.19,0.4902893927693367,0.01999999999999999,-0.04630513459444041,83,0.541641891002655,0.5355607299919588,0.47
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,high,100,0.18,0.45393677055835724,0.19,0.4902893927693367,0.010000000000000009,0.03635262221097946,82,0.47988230652279323,0.4482414090051884,0.27
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,low,100,0.16,0.5129104468226433,0.19,0.4902893927693367,0.03,-0.02262105405330661,84,0.5320232566446066,0.5092699116184598,0.41
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,mid,100,0.14,0.5374520421028137,0.19,0.4902893927693367,0.04999999999999999,-0.047162649333477025,86,0.5843819337231773,0.52981229230415,0.52
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,high,100,0.21,0.5631795513629914,0.19,0.4902893927693367,-0.01999999999999999,-0.07289015859365466,79,0.5409899666195824,0.5690780485732646,0.54
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,low,100,0.22,0.5098311464488506,0.19,0.4902893927693367,-0.03,-0.01954175367951394,78,0.4781509272076867,0.5187665929014866,0.41
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,mid,100,0.16,0.5368347868323327,0.19,0.4902893927693367,0.03,-0.04654539406299596,84,0.5508790388703346,0.5341596912060466,0.45
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,high,100,0.17,0.5346015800535678,0.19,0.4902893927693367,0.01999999999999999,-0.04431218728423114,83,0.5299791676156661,0.5355483392275959,0.43
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,low,100,0.18,0.5226949574053288,0.19,0.4902893927693367,0.010000000000000009,-0.03240556463599209,82,0.5158223029639986,0.5242035888680597,0.43
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,mid,100,0.15,0.537708689570427,0.19,0.4902893927693367,0.04000000000000001,-0.04741929680109025,85,0.5581205705801646,0.5341065929216497,0.48
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,high,100,0.17,0.5349683147668839,0.19,0.4902893927693367,0.01999999999999999,-0.044678921997547194,83,0.5456273240201613,0.5327851441969355,0.44
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,low,100,0.2,0.5048344497382641,0.19,0.4902893927693367,-0.010000000000000009,-0.014545056968927383,80,0.49358050227165223,0.507647936604917,0.4
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,mid,100,0.17,0.5379301482439041,0.19,0.4902893927693367,0.01999999999999999,-0.047640755474567364,83,0.5474081723129048,0.5359888662056751,0.47
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,high,100,0.15,0.5246175262331962,0.19,0.4902893927693367,0.04000000000000001,-0.034328133463859545,85,0.5783282121022543,0.5151391699033625,0.48
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,low,100,0.15,0.5312096145749092,0.19,0.4902893927693367,0.04000000000000001,-0.04092022180557253,85,0.5641049603621165,0.5254045535536374,0.44
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,mid,100,0.15,0.5385429614782333,0.19,0.4902893927693367,0.04000000000000001,-0.04825356870889663,85,0.5708131492137909,0.5328482224660761,0.49
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,high,100,0.74,0.8587918999791145,0.85,0.8929685404896737,0.10999999999999999,0.03417664051055913,26,0.9387008076584017,0.6313588550457587,0.18
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,low,100,0.82,0.886425270140171,0.85,0.8929685404896737,0.030000000000000027,0.006543270349502639,18,0.9625295982128237,0.5397277755869759,0.08
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,mid,100,0.78,0.8646886363625527,0.85,0.8929685404896737,0.06999999999999995,0.028279904127121003,22,0.9456281891235938,0.5777211311188611,0.16
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,high,100,0.85,0.8870111274719238,0.85,0.8929685404896737,0.0,0.00595741301774988,15,0.9468286882428562,0.5480449497699738,0.08
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,low,100,0.86,0.8834191778302193,0.85,0.8929685404896737,-0.010000000000000009,0.009549362659454386,14,0.9287034716717032,0.6052442299468177,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,mid,100,0.83,0.8848289477825165,0.85,0.8929685404896737,0.020000000000000018,0.00813959270715714,17,0.9509350851357702,0.5620754536460427,0.1
