model_name,model_slug,severity,base_type,base_name,base_display_name,color_accuracy,grayscale_accuracy,grayscale_minus_color_accuracy,color_mean_confidence,grayscale_mean_confidence,grayscale_minus_color_confidence
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,07,dirty_lens_1,Dirty lens 1,0.458,0.234,-0.224,0.012165486313402652,0.0117786593940109,-0.0003868269193917518
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,08,dirty_lens_2,Dirty lens 2,0.486,0.292,-0.194,0.01256526118516922,0.012005113521590829,-0.0005601476635783906
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,05,gaussian_blur,Gaussian blur,0.03,0.016,-0.013999999999999999,0.011313025534152985,0.011005112271755933,-0.00030791326239705194
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,04,overexposure,Overexposure,0.458,0.284,-0.17400000000000004,0.012872363878414035,0.012419871475547552,-0.00045249240286648375
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,02,resize,Resize,0.582,0.466,-0.11599999999999994,0.013789861449971795,0.013329273033887147,-0.00046058841608464726
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,09,salt_pepper_noise,Salt & pepper noise,0.226,0.078,-0.14800000000000002,0.011626624638214707,0.011074049035087227,-0.0005525756031274798
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_3,03,underexposure,Underexposure,0.578,0.46,-0.11799999999999994,0.013839649317786097,0.013235296070575714,-0.0006043532472103826
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,06,contrast,Contrast,0.466,0.35,-0.11600000000000005,0.013139451270923018,0.01280028273165226,-0.00033916853927075906
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,07,dirty_lens_1,Dirty lens 1,0.342,0.138,-0.20400000000000001,0.011705054581165313,0.011394873509183527,-0.0003101810719817865
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,08,dirty_lens_2,Dirty lens 2,0.442,0.252,-0.19,0.012233263839036227,0.01176899811811745,-0.00046426572091877623
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,05,gaussian_blur,Gaussian blur,0.016,0.014,-0.002,0.011312786407768727,0.011127449940890074,-0.00018533646687865328
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,04,overexposure,Overexposure,0.372,0.22,-0.152,0.012631240874528885,0.01215281748212874,-0.00047842339240014575
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,02,resize,Resize,0.56,0.424,-0.13600000000000007,0.013577267067506909,0.01312038204073906,-0.000456885026767849
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,09,salt_pepper_noise,Salt & pepper noise,0.088,0.028,-0.06,0.011243987387046218,0.01082956805638969,-0.00041441933065652914
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_4,03,underexposure,Underexposure,0.57,0.462,-0.10799999999999993,0.013711225802078843,0.01313837737031281,-0.0005728484317660335
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,06,contrast,Contrast,0.462,0.344,-0.11800000000000005,0.013050151428207755,0.012706978537142278,-0.0003431728910654776
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,07,dirty_lens_1,Dirty lens 1,0.192,0.056,-0.136,0.01132381790690124,0.011104733508080245,-0.00021908439882099492
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,08,dirty_lens_2,Dirty lens 2,0.4,0.194,-0.20600000000000002,0.011900360561907292,0.011485210763290524,-0.0004151497986167683
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,05,gaussian_blur,Gaussian blur,0.014,0.012,-0.002,0.011401761412620545,0.011246481383219362,-0.00015528002940118357
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,04,overexposure,Overexposure,0.316,0.182,-0.134,0.012447811575606465,0.012027276538312434,-0.00042053503729403037
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,09,salt_pepper_noise,Salt & pepper noise,0.014,0.008,-0.006,0.01099099644459784,0.010693569242954254,-0.00029742720164358666
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,level_5,03,underexposure,Underexposure,0.522,0.418,-0.10400000000000004,0.013249391812831163,0.012848767083138228,-0.000400624729692935
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,06,contrast,Contrast,0.746,0.718,-0.028000000000000025,0.015534576293081045,0.015163333529606462,-0.00037124276347458296
