model_name,model_slug,family,recipe,severity,label,n,accuracy,drop_vs_clean_label
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,dirty_lens_recompress,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,baseball,10,0.7,0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,calcium_bottle,10,0.4,0.4
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,canon_camera,10,0.0,0.3
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,hair_brush,10,0.6,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,lg_cell_phone,10,0.4,0.29999999999999993
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,training_marker_cone,10,0.8,0.19999999999999996
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,canon_camera,10,0.1,0.19999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,lg_cell_phone,10,0.5,0.19999999999999996
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,baseball,10,1.0,-0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,canon_camera,10,0.0,0.3
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,lg_cell_phone,10,0.5,0.19999999999999996
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,training_marker_cone,10,0.9,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,baseball,10,1.0,-0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,lg_cell_phone,10,0.9,-0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,lg_cell_phone,10,0.9,-0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,lg_cell_phone,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,baseball,10,0.7,0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,canon_camera,10,0.1,0.19999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,lg_cell_phone,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,lg_cell_phone,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,canon_camera,10,0.2,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,dymo_label_maker,10,0.4,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,lg_cell_phone,10,0.9,-0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,lg_cell_phone,10,0.6,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,lg_cell_phone,10,0.9,-0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,high,baseball,10,0.8,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,high,calcium_bottle,10,0.8,0.0
