model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,14,native_challenge_type_03,0.522,0.09399999999999997,0.013249391812831163
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,1,native_challenge_type_18,0.008,0.744,0.010951613282784819
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,2,native_challenge_type_05,0.01,0.742,0.012021644692867994
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,3,native_challenge_type_09,0.01,0.742,0.011008213222026825
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,4,native_challenge_type_14,0.01,0.742,0.01180378468707204
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,5,native_challenge_type_16,0.05,0.702,0.011294395316392184
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,6,native_challenge_type_07,0.126,0.626,0.011598734389990569
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,7,native_challenge_type_13,0.24,0.512,0.012437923537567258
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,8,native_challenge_type_17,0.27,0.482,0.01209163522347808
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,9,native_challenge_type_04,0.354,0.398,0.012926912233233452
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,10,native_challenge_type_08,0.364,0.388,0.012532710418105126
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,11,native_challenge_type_15,0.508,0.244,0.013856250520795584
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,12,native_challenge_type_06,0.61,0.14200000000000002,0.014388866322115064
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,13,native_challenge_type_12,0.636,0.11599999999999999,0.014267068246379494
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,14,native_challenge_type_03,0.676,0.07599999999999996,0.014496878093108534
